================================================================================
            UPDATED SYSTEM STRUCTURAL LABEL TABLE (AMENDED SOURCE)
================================================================================

Symbol Type  | Label Name   | Memory/Value  | Structural Operational Purpose
-------------+--------------+---------------+-----------------------------------
System Equ   | ETX          | $03           | Abort Command Token Check (^C)
System Equ   | EOT          | $04           | End of Transmission Marker (^D)
System Equ   | BS           | $08           | Backspace Stream Action Offset
System Equ   | TAB          | $09           | Tab Expansion Layout Trigger
System Equ   | LF           | $0A           | Line Feed Carriage Advance
System Equ   | CR           | $0D           | Carriage Return Line Terminus
System Equ   | FF           | $0C           | Form Feed Clear Screen Value
System Equ   | XOFF         | $13           | Output Stream Hold Flag (^S)
System Equ   | ESC          | $1B           | Escape Sequence Opcode Tracker
System Equ   | CHOME        | $1C           | Screen Cursor Reset Home Offset
System Equ   | SPAC         | $20           | Blank Space Literal Padding Byte
System Equ   | DEL          | $7F           | Terminal Delete Destructive Clear
System Equ   | DECMRK       | '£'           | Prefix Code for Decimal Handling
System Equ   | PROMPT       | '*'           | Standard Supervisor Input Mark
System Equ   | JUMP         | $C3           | Z80 JP Absolute Opcode Template
System Equ   | BRK          | $FF           | Breakpoint Trap Vector Instruction
System Equ   | BUFSIZ       | 80            | Maximum Storage Line Dimension
System Equ   | NBP          | 8             | Dynamic Target Breakpoint Limit
System Equ   | DEFLEN       | 127           | Base Screen Data Hex Dump Span
System Equ   | MONORG       | $F800         | Core System Entry Rom Window Base
System Equ   | MONPAG       | $F8           | Upper ROM Memory Allocation Frame
System Equ   | EDIT         | $F7FD         | Firmware Editor Entry Link Vector
System Equ   | PASCAL       | $08000        | Main Operating Frame Target Offset
System Equ   | TRACE        | $F000         | Environment Diagnostic Engine Base
System Equ   | MMOUT        | $D400         | Screen Video Latch Write Pipeline
System Equ   | MMINIT       | $D700         | Video Core Initialisation Hook
-------------+--------------+---------------+-----------------------------------
RAM Memory   | IOBYTE       | $0003         | System Configuration Map Element
RAM Memory   | RST7         | $0038         | Interrupt Trap Entry Array Vector
RAM Memory   | CHBUFF       | $0040         | Hardware Keyboard Buffer Register
RAM Memory   | CURPOS       | $0041         | Display Text Row Tracking Tracker
RAM Memory   | CHCNT        | $0042         | Console Stream Position Latch
